symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,exit_reason,ml_prob,regime,days_held
AAPL,2018-05-01,2018-05-24,39.7658,44.4124,26.0,120.81159999999998,0.1168491517836936,TIMEOUT,0.3525423728813559,unknown,23
MSFT,2018-06-08,2018-06-27,95.0099,91.19,31.0,-118.41690000000013,-0.040205283870417774,SL_HIT,0.5791190864600326,low_vol_choppy,19
GOOGL,2018-06-20,2018-06-27,58.9896,55.6453,27.0,-90.29610000000011,-0.056693044197621334,SL_HIT,0.3181818181818182,low_vol_choppy,7
GOOGL,2018-07-12,2018-08-06,59.846,61.66,34.0,61.676,0.030311131905223387,TIMEOUT,0.5791190864600326,low_vol_choppy,25
AMZN,2018-07-16,2018-08-08,91.1245,94.326,20.0,64.02999999999992,0.03513325175995474,TIMEOUT,0.45112781954887216,low_vol_choppy,23
MSFT,2018-07-30,2018-08-22,98.534,100.478,23.0,44.71199999999973,0.019729230519414553,TIMEOUT,0.5791190864600326,low_vol_choppy,23
AAPL,2018-08-07,2018-08-30,48.8873,53.3037,30.0,132.49199999999988,0.09033839054314718,TIMEOUT,0.3525423728813559,low_vol_choppy,23
GOOGL,2018-08-29,2018-09-04,63.0041,60.3467,40.0,-106.2960000000001,-0.042178207449991345,SL_HIT,0.3525423728813559,low_vol_choppy,6
GOOGL,2018-09-04,2018-09-17,60.3467,57.782,40.0,-102.58800000000008,-0.04249942416072461,SL_HIT,0.3525423728813559,low_vol_choppy,13
AAPL,2018-08-30,2018-09-24,53.3037,52.301,51.0,-51.13769999999986,-0.01881107690460504,TIMEOUT,0.3525423728813559,low_vol_choppy,25
AMZN,2019-02-06,2019-03-01,82.013,83.5865,10.0,15.734999999999957,0.019185982710058003,TIMEOUT,0.21830985915492956,low_vol_choppy,23
AMZN,2019-03-04,2019-03-27,84.8085,88.285,26.0,90.38900000000004,0.04099235336080698,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2019-03-14,2019-04-08,108.476,113.536,53.0,268.1800000000001,0.04664626276780126,TIMEOUT,0.7647058823529411,low_vol_choppy,25
AAPL,2019-03-14,2019-04-08,43.8615,47.7734,119.0,465.51610000000034,0.08918755628512476,TP_HIT,0.7859649122807018,low_vol_choppy,25
GOOGL,2019-04-23,2019-04-30,63.3001,59.7314,61.0,-217.6907,-0.05637747807665394,SL_HIT,0.3525423728813559,low_vol_choppy,7
AMZN,2019-04-23,2019-05-13,96.1885,91.134,40.0,-202.18000000000018,-0.05254786175062509,SL_HIT,0.3525423728813559,low_vol_choppy,20
GOOGL,2019-06-05,2019-06-28,52.0434,53.9444,73.0,138.77300000000025,0.03652720613949123,TIMEOUT,0.9130434782608695,low_vol_choppy,23
AMZN,2019-06-06,2019-07-01,87.718,96.1095,34.0,285.3109999999998,0.09566451583483437,TIMEOUT,0.5791190864600326,low_vol_choppy,25
MSFT,2019-06-06,2019-07-01,121.437,128.909,19.0,141.9679999999999,0.06152984675181372,TIMEOUT,0.3525423728813559,low_vol_choppy,25
AMZN,2019-07-09,2019-07-29,99.415,95.6225,51.0,-193.4175000000002,-0.03814816677563748,SL_HIT,0.4745762711864407,low_vol_choppy,20
AAPL,2019-10-01,2019-10-24,54.0276,58.5975,109.0,498.11909999999966,0.08458454567665408,TIMEOUT,0.7859649122807018,low_vol_choppy,23
GOOGL,2019-10-15,2019-11-07,61.8877,65.111,61.0,196.6213000000001,0.05208304719677748,TIMEOUT,0.3525423728813559,low_vol_choppy,23
MSFT,2019-10-28,2019-11-20,137.446,143.112,33.0,186.9779999999999,0.041223462305196135,TIMEOUT,0.4745762711864407,low_vol_choppy,23
GOOGL,2019-11-07,2019-12-02,65.111,64.2102,122.0,-109.89760000000047,-0.013834835895624398,TIMEOUT,0.6206896551724138,low_vol_choppy,25
AAPL,2019-12-10,2019-12-30,64.7782,70.3373,135.0,750.4785000000002,0.08581745093256687,TP_HIT,0.7859649122807018,low_vol_choppy,20
AAPL,2019-12-30,2020-01-13,70.3373,76.4775,143.0,878.048600000001,0.08729649844392662,TP_HIT,0.7859649122807018,low_vol_choppy,14
GOOGL,2020-01-03,2020-01-16,67.8302,72.2461,240.0,1059.8159999999984,0.06510227008028857,TP_HIT,1.0,low_vol_choppy,13
AMZN,2019-12-26,2020-01-21,93.4385,94.6,51.0,59.23649999999947,0.012430636193859979,TIMEOUT,0.3525423728813559,low_vol_choppy,26
MSFT,2020-01-03,2020-01-27,151.726,155.213,107.0,373.10899999999947,0.022982217945507033,TIMEOUT,1.0,low_vol_choppy,24
GOOGL,2020-01-17,2020-02-10,73.7088,75.1606,94.0,136.46920000000054,0.019696427020925666,TIMEOUT,0.2808510638297873,low_vol_choppy,24
AMZN,2020-02-04,2020-02-27,102.484,94.215,38.0,-314.22199999999964,-0.08068576558292018,SL_HIT,0.2808510638297873,low_vol_choppy,23
SPY,2020-06-05,2020-06-11,296.894,279.485,26.0,-452.6339999999998,-0.05863708933154588,SL_HIT,0.45112781954887216,low_vol_choppy,6
AMZN,2020-06-09,2020-07-01,130.043,143.935,108.0,1500.3359999999996,0.10682620364033424,TP_HIT,0.9186991869918699,low_vol_choppy,22
AAPL,2020-06-10,2020-07-06,85.5653,90.6607,65.0,331.2010000000008,0.05954984088175941,TIMEOUT,0.23529411764705882,low_vol_choppy,26
AMZN,2020-07-01,2020-07-24,143.935,150.445,77.0,501.2699999999993,0.045228749088130016,TIMEOUT,0.9186991869918699,low_vol_choppy,23
GOOGL,2020-07-01,2020-07-24,71.8396,75.1381,49.0,161.6264999999995,0.04591478794425341,TIMEOUT,0.21830985915492956,low_vol_choppy,23
AAPL,2020-07-29,2020-08-03,92.1937,105.668,51.0,687.1893,0.1461520689591589,TP_HIT,0.21830985915492956,low_vol_choppy,5
MSFT,2020-07-27,2020-08-19,196.04,202.166,22.0,134.7720000000001,0.031248724750051027,TIMEOUT,0.2808510638297873,low_vol_choppy,23
AAPL,2020-08-03,2020-08-26,105.668,122.953,72.0,1244.5199999999998,0.16357837755990468,TIMEOUT,0.8666666666666667,low_vol_choppy,23
AMZN,2020-12-16,2021-01-08,162.048,159.135,89.0,-259.25700000000097,-0.01797615521327023,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2020-12-16,2021-01-08,211.962,212.294,71.0,23.572000000001566,0.001566318491050378,TIMEOUT,0.5791190864600326,low_vol_choppy,23
GOOGL,2021-01-05,2021-01-20,86.6882,93.664,320.0,2232.256000000002,0.08047000629843515,TP_HIT,1.0,low_vol_choppy,15
MSFT,2021-01-13,2021-02-01,209.119,231.653,86.0,1937.9239999999993,0.10775682745231174,TP_HIT,0.7859649122807018,low_vol_choppy,19
AMZN,2021-01-20,2021-02-12,163.169,163.886,61.0,43.73699999999906,0.004394217038775627,TIMEOUT,0.45112781954887216,low_vol_choppy,23
GOOGL,2021-01-20,2021-02-12,93.664,104.373,120.0,1285.0800000000004,0.11433421592073789,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2021-03-10,2021-04-05,225.176,241.322,39.0,629.6940000000006,0.07170391160692091,TIMEOUT,0.2808510638297873,low_vol_choppy,26
GOOGL,2021-03-12,2021-04-05,102.129,110.547,113.0,951.2339999999991,0.08242516816966772,TIMEOUT,0.5791190864600326,low_vol_choppy,24
GOOGL,2021-05-05,2021-05-12,115.32,109.614,111.0,-633.3659999999987,-0.049479708636836484,SL_HIT,0.3181818181818182,low_vol_choppy,7
AAPL,2021-06-14,2021-07-07,127.413,141.182,217.0,2987.8729999999982,0.10806589594468385,TP_HIT,0.8571428571428571,low_vol_choppy,23
AMZN,2021-06-16,2021-07-07,170.762,184.829,155.0,2180.385000000001,0.08237781239385811,TP_HIT,0.5791190864600326,low_vol_choppy,21
MSFT,2021-07-06,2021-07-29,269.63,278.213,143.0,1227.3690000000038,0.03183251121907804,TIMEOUT,0.7241379310344828,low_vol_choppy,23
AAPL,2021-08-16,2021-09-08,147.802,151.693,216.0,840.4560000000042,0.026325760138563803,TIMEOUT,0.7647058823529411,low_vol_choppy,23
MSFT,2021-08-20,2021-09-13,296.116,288.958,85.0,-608.4299999999964,-0.024172959245700842,TIMEOUT,0.3525423728813559,low_vol_choppy,24
GOOGL,2021-08-27,2021-09-20,143.484,138.218,276.0,-1453.4160000000054,-0.03670095620417624,SL_HIT,0.5791190864600326,low_vol_choppy,24
AMZN,2021-08-31,2021-09-23,173.54,170.8,144.0,-394.5599999999972,-0.015788867119972183,TIMEOUT,0.3525423728813559,low_vol_choppy,23
MSFT,2021-10-05,2021-10-27,280.951,314.422,91.0,3045.8610000000003,0.11913465337371987,TP_HIT,0.5791190864600326,low_vol_choppy,22
GOOGL,2021-10-05,2021-10-28,135.532,145.322,194.0,1899.2599999999984,0.07223386358941064,TIMEOUT,0.5791190864600326,low_vol_choppy,23
AMZN,2021-10-15,2021-11-08,170.451,174.449,98.0,391.80400000000185,0.02345542120609445,TIMEOUT,0.2808510638297873,low_vol_choppy,24
AAPL,2021-11-03,2021-11-26,148.168,153.586,394.0,2134.6920000000027,0.03656660007558998,TIMEOUT,0.8666666666666667,low_vol_choppy,23
MSFT,2021-12-16,2022-01-10,316.688,306.324,60.0,-621.8399999999986,-0.03272621633910966,TIMEOUT,0.3525423728813559,low_vol_choppy,25
AMZN,2022-01-28,2022-02-22,143.978,150.198,84.0,522.4799999999999,0.04320104460403673,TIMEOUT,0.21830985915492956,low_vol_choppy,25
GOOGL,2022-02-01,2022-02-24,137.147,132.211,115.0,-567.6399999999976,-0.03599057945124562,TIMEOUT,0.28125,low_vol_choppy,23
AMZN,2022-03-14,2022-04-06,141.853,158.756,92.0,1555.075999999999,0.1191585655573022,TIMEOUT,0.3525423728813559,low_vol_choppy,23
GOOGL,2022-03-14,2022-04-06,125.496,136.054,92.0,971.3360000000007,0.08413017147956903,TIMEOUT,0.21830985915492956,low_vol_choppy,23
AAPL,2022-03-16,2022-04-08,156.513,166.806,95.0,977.8350000000006,0.06576450518487276,TIMEOUT,0.2808510638297873,low_vol_choppy,23
AAPL,2022-07-29,2022-08-22,159.609,164.805,169.0,878.1239999999997,0.032554555194255874,TIMEOUT,0.45112781954887216,low_vol_choppy,24
AMZN,2023-01-11,2023-02-03,95.09,103.39,191.0,1585.2999999999995,0.08728572930907563,TIMEOUT,0.4745762711864407,low_vol_choppy,23
GOOGL,2023-01-20,2023-02-13,97.666,94.2683,296.0,-1005.7192000000001,-0.03478897466876907,TIMEOUT,0.5791190864600326,low_vol_choppy,24
AAPL,2023-03-06,2023-03-29,151.777,158.622,142.0,971.9900000000039,0.04509905980484552,TIMEOUT,0.2808510638297873,low_vol_choppy,23
GOOGL,2023-03-16,2023-04-10,99.9574,106.055,189.0,1152.4464,0.06100198684639646,TIMEOUT,0.28125,low_vol_choppy,25
AAPL,2023-04-14,2023-05-08,163.003,171.182,248.0,2028.3920000000005,0.05017699060753489,TIMEOUT,0.4745762711864407,low_vol_choppy,24
AMZN,2023-04-21,2023-05-15,106.96,111.2,196.0,831.0400000000018,0.039640987284966345,TIMEOUT,0.2808510638297873,low_vol_choppy,24
AAPL,2023-05-08,2023-05-31,171.182,175.124,148.0,583.4160000000011,0.02302812211564298,TIMEOUT,0.2808510638297873,low_vol_choppy,23
GOOGL,2023-05-10,2023-06-02,111.346,124.22,336.0,4325.663999999999,0.11562157598836054,TIMEOUT,0.5791190864600326,low_vol_choppy,23
AMZN,2023-05-26,2023-06-20,120.11,125.78,181.0,1026.2700000000002,0.04720672716676377,TIMEOUT,0.3181818181818182,low_vol_choppy,25
MSFT,2023-05-26,2023-06-20,329.053,334.155,138.0,704.0759999999966,0.015505101001966226,TIMEOUT,0.45112781954887216,low_vol_choppy,25
SPY,2023-06-15,2023-07-10,430.801,429.527,195.0,-248.43000000000018,-0.0029572819004598516,TIMEOUT,0.5791190864600326,low_vol_choppy,25
AAPL,2023-06-30,2023-07-24,191.642,190.439,424.0,-510.07200000000125,-0.006277329604157722,TIMEOUT,0.5791190864600326,low_vol_choppy,24
MSFT,2023-07-18,2023-07-26,355.346,333.876,83.0,-1782.0100000000023,-0.060419985028676404,SL_HIT,0.21830985915492956,low_vol_choppy,8
GOOGL,2023-07-13,2023-08-07,124.09,131.055,233.0,1622.8450000000007,0.056128616326859504,TIMEOUT,0.2808510638297873,low_vol_choppy,25
AAPL,2023-08-11,2023-09-05,175.895,187.679,360.0,4242.239999999997,0.06699451377242105,TIMEOUT,0.5791190864600326,low_vol_choppy,25
MSFT,2023-10-06,2023-10-30,324.173,334.129,161.0,1602.916000000003,0.030711996372307482,TIMEOUT,0.4745762711864407,low_vol_choppy,24
AAPL,2023-11-01,2023-11-16,172.116,187.935,640.0,10124.159999999993,0.09190894513002856,TP_HIT,0.7859649122807018,low_vol_choppy,15
MSFT,2023-11-01,2023-11-24,342.806,374.628,109.0,3468.5980000000004,0.09282801351201564,TIMEOUT,0.28125,low_vol_choppy,23
GOOGL,2023-12-07,2024-01-02,136.436,137.671,402.0,496.46999999999406,0.009051863144624583,TIMEOUT,0.4745762711864407,low_vol_choppy,26
SPY,2023-12-13,2024-01-05,461.279,460.61,270.0,-180.62999999999533,-0.0014503153189284745,TIMEOUT,0.5791190864600326,low_vol_choppy,23
GOOGL,2024-01-19,2024-01-31,145.851,139.594,1021.0,-6388.397000000005,-0.042899945835133124,SL_HIT,0.7647058823529411,low_vol_choppy,12
AAPL,2024-01-09,2024-02-01,183.409,185.113,662.0,1128.0480000000052,0.009290710924763745,TIMEOUT,0.7859649122807018,low_vol_choppy,23
AMZN,2024-01-10,2024-02-02,153.73,171.81,577.0,10432.160000000007,0.11760879463995333,TP_HIT,0.5791190864600326,low_vol_choppy,23
MSFT,2024-01-19,2024-02-12,395.711,412.178,543.0,8941.580999999991,0.041613702929663265,TIMEOUT,0.9186991869918699,low_vol_choppy,24
GOOGL,2024-03-04,2024-03-22,132.868,150.225,577.0,10014.989,0.13063341060300449,TP_HIT,0.45112781954887216,low_vol_choppy,18
AAPL,2024-03-11,2024-04-03,171.353,168.277,869.0,-2673.044000000019,-0.017951246841315993,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2024-03-14,2024-04-08,422.844,422.287,300.0,-167.1000000000049,-0.0013172706719263294,TIMEOUT,0.5791190864600326,low_vol_choppy,25
AAPL,2024-04-11,2024-05-06,173.624,180.239,437.0,2890.7550000000037,0.03809957148781273,TIMEOUT,0.3525423728813559,low_vol_choppy,25
AMZN,2024-05-02,2024-05-28,184.72,182.15,283.0,-727.3099999999981,-0.013912949328713675,TIMEOUT,0.23529411764705882,low_vol_choppy,26
MSFT,2024-05-02,2024-05-28,395.618,428.688,312.0,10317.839999999998,0.08359073651856086,TIMEOUT,0.5791190864600326,low_vol_choppy,26
AMZN,2024-06-06,2024-07-01,185.0,197.2,1665.0,20312.99999999998,0.06594594594594594,TIMEOUT,1.0,low_vol_choppy,25
MSFT,2024-06-06,2024-07-01,422.909,454.997,530.0,17006.64000000001,0.07587447890680976,TIMEOUT,0.7859649122807018,low_vol_choppy,25
AAPL,2024-06-11,2024-07-05,205.754,224.814,616.0,11740.960000000001,0.09263489409683401,TIMEOUT,0.5791190864600326,low_vol_choppy,24
AMZN,2024-10-10,2024-11-04,186.65,195.78,941.0,8591.329999999996,0.048915081703723606,TIMEOUT,0.5791190864600326,low_vol_choppy,25
AMZN,2024-11-05,2024-11-29,199.5,207.89,689.0,5780.709999999991,0.04205513784461146,TIMEOUT,0.5791190864600326,low_vol_choppy,24
MSFT,2024-11-05,2024-11-29,410.638,423.46,267.0,3423.4740000000006,0.031224582235448217,TIMEOUT,0.3525423728813559,low_vol_choppy,24
MSFT,2025-01-22,2025-01-30,446.2,414.99,272.0,-8489.119999999995,-0.06994621246077992,SL_HIT,0.2808510638297873,low_vol_choppy,8
GOOGL,2025-02-03,2025-02-07,201.23,185.34,515.0,-8183.349999999993,-0.07896436912985139,SL_HIT,0.2808510638297873,low_vol_choppy,4
AMZN,2025-01-17,2025-02-10,225.94,233.14,377.0,2714.3999999999955,0.03186686730990518,TIMEOUT,0.23529411764705882,low_vol_choppy,24
AAPL,2025-01-22,2025-02-14,222.822,243.767,884.0,18515.379999999994,0.09399879724623239,TIMEOUT,0.7272727272727273,low_vol_choppy,23
AMZN,2025-02-10,2025-02-21,233.14,216.58,503.0,-8329.679999999988,-0.07103028223385077,SL_HIT,0.3181818181818182,low_vol_choppy,11
MSFT,2025-02-03,2025-02-26,410.92,399.73,208.0,-2327.5199999999995,-0.027231577922710026,TIMEOUT,0.2808510638297873,low_vol_choppy,23
MSFT,2025-04-30,2025-05-23,395.26,450.18,332.0,18233.440000000006,0.13894651621717347,TIMEOUT,0.2808510638297873,low_vol_trending_up,23
AAPL,2025-07-02,2025-07-25,211.993,213.431,652.0,937.5760000000108,0.0067832428429241975,TIMEOUT,0.21830985915492956,low_vol_choppy,23
MSFT,2025-07-31,2025-08-19,533.5,509.77,600.0,-14238.000000000011,-0.04447985004686039,SL_HIT,0.5791190864600326,low_vol_choppy,19
GOOGL,2025-08-29,2025-09-05,212.91,235.0,773.0,17075.570000000003,0.10375275938189854,TP_HIT,0.28125,low_vol_choppy,7
AAPL,2025-09-10,2025-09-22,226.57,255.832,1461.0,42751.782,0.12915213841196982,TP_HIT,0.7859649122807018,low_vol_choppy,12
AMZN,2025-09-08,2025-09-23,235.84,220.71,679.0,-10273.269999999997,-0.06415366350067842,SL_HIT,0.3525423728813559,low_vol_choppy,15
GOOGL,2025-09-05,2025-09-29,235.0,244.05,508.0,4597.400000000006,0.03851063829787238,TIMEOUT,0.3525423728813559,low_vol_choppy,24
MSFT,2025-09-12,2025-10-06,509.9,528.57,1320.0,24644.400000000096,0.03661502255344207,TIMEOUT,1.0,low_vol_choppy,24
AAPL,2025-09-22,2025-10-15,255.832,249.099,537.0,-3615.6210000000024,-0.02631805247193475,TIMEOUT,0.21830985915492956,low_vol_choppy,23
MSFT,2025-10-28,2025-10-31,542.07,517.81,868.0,-21057.68000000009,-0.04475436751711048,SL_HIT,0.5791190864600326,low_vol_choppy,3
MSFT,2025-10-31,2025-11-19,517.81,487.12,1091.0,-33482.789999999935,-0.05926884378439956,SL_HIT,0.9186991869918699,low_vol_choppy,19
MSFT,2026-01-28,2026-01-29,481.63,433.5,524.0,-25220.12,-0.09993148267342145,SL_HIT,0.3525423728813559,low_vol_choppy,1
AMZN,2026-01-07,2026-01-30,241.56,239.3,900.0,-2033.9999999999918,-0.009355853618148613,TIMEOUT,0.2808510638297873,low_vol_choppy,23
AAPL,2026-01-29,2026-02-23,258.28,266.18,1695.0,13390.500000000058,0.030586959888493137,TIMEOUT,0.5791190864600326,low_vol_choppy,25
MSFT,2026-02-02,2026-02-25,423.37,400.6,303.0,-6899.309999999994,-0.053782743226964524,TIMEOUT,0.2808510638297873,low_vol_choppy,23
